classe,alto_potencial,potencial_cargo,CD_setor,NM_BAIRRO,quantidade_oportunidade,tamanho_oportunidade,alta_oportunidade,Valor,Classe_Quartil,latlon,lat,lon,cep,oportunidade
Sub-ideal,False,,410150705000184,,3,ALTA,True,0.5965324526574581,4,"(-23.418035, -51.413057)",-23.41803459999994,-51.41305737634651,,3
Sub-ideal,False,,410150705000185,,3,ALTA,True,0.6024073126482765,4,"(-23.438524, -51.412042)",-23.438523699999934,-51.41204215508529,,3
Sub-ideal,False,,410150705000189,,3,ALTA,True,0.5861494775248668,4,"(-23.423185, -51.460548)",-23.42318474999996,-51.4605479908565,,3
Sub-ideal,False,,410150705000190,,3,ALTA,True,0.5609947865998154,3,"(-23.422950, -51.459083)",-23.42294954999997,-51.45908263179764,,3
Sub-ideal,False,,410150705000193,,3,ALTA,True,0.5614940065021993,3,"(-23.428544, -51.445728)",-23.428543899999966,-51.44572779266266,,3
Sub-ideal,False,,410150705000200,,3,ALTA,True,0.5618622843020434,3,"(-23.418965, -51.454275)",-23.418965499999956,-51.454275452140664,,3
Sub-ideal,False,,410150705000201,,3,ALTA,True,0.5653454609092254,3,"(-23.420110, -51.457295)",-23.42010959999996,-51.457295325709765,,3
Sub-ideal,False,,410150705000202,,3,ALTA,True,0.5881124497991967,4,"(-23.427642, -51.435989)",-23.42764189999994,-51.43598868874337,,3
Sub-ideal,False,,410150705000203,,3,ALTA,True,0.5928995983935743,4,"(-23.430150, -51.433659)",-23.43014999999994,-51.433659259368795,,3
Sub-ideal,False,,410150705000205,,3,ALTA,True,0.5949480755463188,4,"(-23.435980, -51.446432)",-23.43597989999995,-51.44643189143392,,3
Sub-ideal,False,,410150705000206,,3,ALTA,True,0.5952649964939122,4,"(-23.408362, -51.415032)",-23.408362299999936,-51.415031752669066,,3
Sub-ideal,False,,410150705000207,,3,ALTA,True,0.595393284394519,4,"(-23.409240, -51.413825)",-23.409239999999954,-51.41382510862415,,3
Sub-ideal,False,,410150705000212,,3,ALTA,True,0.578761802560154,3,"(-23.420671, -51.415594)",-23.420670799999954,-51.41559373917673,,3
Sub-ideal,False,,410150705000216,,3,ALTA,True,0.5611540362297848,3,"(-23.392243, -51.412233)",-23.392242849999946,-51.41223274761484,,3
Sub-ideal,False,,410150705000218,,3,ALTA,True,0.560958015736415,3,"(-23.395217, -51.410254)",-23.39521689999995,-51.41025435401778,,3
Sub-ideal,False,,410150705000220,,3,ALTA,True,0.5888913400079191,4,"(-23.408793, -51.464073)",-23.408793049999957,-51.46407327337371,,3
Sub-ideal,False,,410150705000221,,3,ALTA,True,0.5816449078990735,4,"(-23.414287, -51.464060)",-23.414286999999945,-51.46405995558831,,3
